Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
"Data Analytics: Practical Data Analysis and Statistical Guide to Transform and Evolve Any Business Leveraging the Power of Data Analytics, Data Science, and Predictive Analytics for Beginners",['Isaac D. Cody'],0,2,2.71,17
Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,['Kal Mishra'],0,1,3.60,5
Conversations on Data Science,['Roger D. Peng'],0,1,3.12,24
Python Machine Learning: Practical Guide for Beginners,['François Duval'],0,3,3.57,7
Data Science 2.0: Live Raspberry Pi 3 and Arduino Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,5.00,35
"RUBY: 2nd Edition! Beginner's Crash Course - Ruby for Beginners Guide to: Ruby Programming, Ruby On Rails, Rails Programming (Data Structures, Data Science, ... Computer Science, Computer Book 1)",['Quick Start Guides'],2015,1,3.70,10
Data Science Essentials in Python: Collect - Organize - Explore - Predict - Value,['Dmitry Zinoviev'],0,4,2.83,12
High-Dimensional Probability: An Introduction with Applications in Data Science,['Roman Vershynin'],0,5,4.70,10
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow",['Lazy Programmer'],0,1,3.55,11
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow",['Lazy Programmer'],0,1,3.55,11
Data Science and Machine Learning 2.0 Using Python 3.7: : with Live OpenCV and TensorFlow Projects,['Narendra Mohan Mittal'],0,1,5.00,35
"Java Programming: Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms (Code like a PRO in 24 ... design, tech, perl, ajax, swift, python)","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,3.27,15
Machine Learning From Scratch: Practical Guide With Python,['Alain Kaufmann'],0,1,3.80,5
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective","['Ramesh Sharda', 'Dursun Delen', 'Efraim Turban']",0,4,3.68,19
Mastering Deep Learning Fundamentals with Python: An Ultimate Guide for Beginners in Data Science,['AI Publishing'],0,2,4.00,2
Data Science: Create Teams That Ask the Right Questions and Deliver Real Value,['Doug Rose'],0,2,3.77,13
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, Big Data for Business and Machine Learning for Beginners",['Herbert Jones'],0,1,2.82,11
Data Science and Big Data 2.0: : With Live Robotics Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,5.00,35
Data Science from Scratch: Data Science for Beginners and Layman,['Narendra Mohan Mittal'],0,1,5.00,36
"Markov Models: Understanding Data Science, Markov Models And Unsupervised Machine Learning In Python",['Duo Code'],0,1,3.50,8
Data Science: A Comprehensive Beginner’s Guide to Learn the Realms of Data Science,['Liam Damien'],0,2,3.57,7
PYTHON FOR DATA SCIENCE: The Ultimate Beginners’ Guide to Learning Python Data Science Step by Step,['Ethan Williams'],0,1,4.00,2
Data Science using Python: With Python Testing,['Narendra Mohan Mittal'],0,1,5.00,34
Data Science 2.0 With Raspberry Pi 3 and Arduino: Live Robotics Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,5.00,35
Mastering Python for Data Science,['Samir'],2015,2,3.50,12
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","['Steven L Brunton', 'J Nathan Kutz']",0,3,5.00,4
"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning",['Lazy Programmer'],0,1,4.23,13
"Python for Data Analysis: A Step By Step Guide to Master the Basics of Data Analysis in Python Using Pandas, Numpy And Ipython (Data Science Book 2)",['Andrew Park'],0,2,4.00,2
100 Questions To Crack Business Analyst Interview: Interview Questions to crack data science interview,['nitin'],0,1,3.92,12
"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning",['Lazy Programmer'],0,1,4.23,13
"Data Analysis from Scratch with Python: Beginner Guide for Data Science, Data Visualization, Regression, Decision Tree, Random Forest, Reinforcement Learning, Neural Network and NLP using Python",['Peters Morgan'],0,4,4.38,13
"Marketing Analytics: Optimize Your Business with Data Science in R, Python, and SQL",['Dave Jacobs'],0,1,3.75,4
"Programming Skills for Data Science: Start Writing Code to Wrangle, Analyze, and Visualize Data with R (Addison-Wesley Data & Analytics Series)","['Michael Freeman', 'Joel Ross']",0,1,4.50,6
100 Puzzles and Case Studies To Crack Data Science Interview,['TheDataMonk'],0,1,3.64,11
Math for Machine Learning: Open Doors to Data Science and Artificial Intelligence,['Richard Han'],0,2,2.50,4
Business Analytics: The Science of Data-Driven Decision Making,['U Dinesh Kumar'],0,1,4.36,14
Data Analytics: Using Big Data Analytics For Business To Increase Profits And Create Happy Customers,['Matthew Adams'],0,1,3.56,9
Decoding the Social World: Data Science and the Unintended Consequences of Communication,['Sandra González-Bailón'],0,2,4.38,8
Data Analytics: The Insider's Guide To Master Data Analytics,"['Cedric Nix', 'Writers International Publishing']",0,1,3.36,14
Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,['Samuel Hack'],0,2,5.00,6
Data Science 2.0 using Python 3.7 With New Arduino and Raspberry Pi 3 Projects,['Narendra Mohan Mittal'],0,1,5.00,35
"Python for Beginners: The Absolute Beginners Guide to Python Programming, Data Science and Predictive Model. A Practical Introduction to Object Oriented Programming Language. (Essentials Cookbook)",['Django Smith'],0,2,2.25,4
Data Science for Beginners and Layman: (2019),['Narendra Mohan Mittal'],0,1,5.00,34
"Data, Models, and Decisions: The Fundamentals of Management Science",['Dimitris Bertsimas'],2000,3,4.21,39
Data Science Jobs: Land a lucrative job in 90 days,['Ann Rajaram'],0,1,4.46,13
Python Machine Learning: A Complete Guide for Beginners on Machine Learning and Deep Learning with Python (Data Science Book 3),['Andrew Park'],0,2,4.00,1
Data Science for Supply Chain Forecast,['Nicolas Vandeput'],0,1,4.50,6
"Data Analytics: A Practical Guide To Data Analytics For Business, Beginner To Expert",['James Fahl'],0,1,3.00,6
Modeling Techniques in Predictive Analytics with Python and R: A Guide to Data Science,['Thomas W. Miller'],2014,2,3.79,14
"Data Science: Mindset, Methodologies, and Misconceptions",['Zacharias Voulgaris'],2017,2,4.94,18
Data Science for Supply Chain Forecast,['Nicolas Vandeput'],0,1,4.50,6
Modeling Techniques in Predictive Analytics with Python and R: A Guide to Data Science,['Thomas W. Miller'],2014,2,3.79,14
The Disruptors: Data Science Leaders: Collective Biographies of Influential Leaders: Vol I,['Kate Strachnyi'],0,2,4.50,2
Julia for Data Science,['Zacharias Voulgaris'],0,2,4.79,19
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",['Computer Science Academy'],0,1,0.00,0
Python Data Science: The Ultimate and Complete Beginners Guide to Master Data Science with Python Step By Step,['Andrew Park'],0,2,3.67,3
Data Science and Complex Networks: Real Case Studies with Python,"['Guido Caldarelli', 'Alessandro Chessa']",0,2,3.57,7
"Mastering Data Science from Scratch with Python: Concepts and Practices with NumPy, Pandas, Matplotlib, Scikit-Learn and Keras",['AI Publishing'],0,1,5.00,1
A collection of Data Science Interview Questions Solved in Python and Spark: BigData and Machine Learning in Python and Spark (A Collection of Programming Interview Questions Book 6),['Antonio Gulli'],0,3,3.45,11
Python: 2 books in 1: Python For Beginners + Python Programming . Master the machine language Data Science Analysis and Artificial intelligence. Exercises included!,['Marc Matthes'],0,1,4.00,1
Predictive Analytics: How Data Science Predicts What You Are Going to Do,['Eric Siegel'],2013,21,3.66,"1,796"
Nuts About Data: A Story of How Data Science Is Changing Our Lives,['Meor Amer'],0,2,4.30,10
Python Data Science: Hands on Learning for Beginners,['Travis Booth'],0,2,0.00,0
Regressions Models for Data Science in R,['Brian Caffo'],0,1,3.64,14
"Data Science in Python, Volume 2: Data I/O, Jupyter Notebook, GUI, Deployment, Numeric Programming, High Performance Python",['Alexander Stepanov'],0,1,2.43,7
Data Science for Fundraising: Build Data-Driven Solutions Using R,"['Ashutosh Nandeshwar', 'Rodger Devine']",0,2,4.33,6
"Data Science: What the Best Data Scientists Know About Data Analytics, Data Mining, Statistics, Machine Learning, and Big Data – That You Don't",['Herbert Jones'],0,2,3.00,7
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,['Yoon Hyup Hwang'],0,2,4.44,9
"Python Machine Learning: The Crash Course for Beginners to Programming and Deep Learning, Artificial Intelligence, Neural Networks and Data Science. Scikit Learn, Tensorflow, Pandas and Numpy.",['Django Smith'],0,2,2.00,1
